city_id:,city_name,longitude,latitude,weather,description,weather_main,weather_icon,weather_base,weather_temperature,weather_feel_like,min_temperature,max_temperature,pressure,humidity,sea_level,ground_level,visibility,wind_speed,wind_deg,wind_gust,cloudiness,sunrise_time,sunset_time,timezone
1279259,Agra,78.0167,27.1833,800,clear sky ,clear,01d,stations,295.14,294.05,295.14,295.14,1014,25,1014,None,None,2.98,337,3.2,1,12/24/22 AM,12/24/22 PM,01/01/70 AM
1279233,Ahmedabad,72.6167,23.0333,711,smoke,smoke,50d,stations,297.17,296.62,297.17,297.17,1014,38,1014,None,None,3.09,30,None,2,12/24/22 AM,12/24/22 PM,01/01/70 AM
1278994,Allahabad,81.85,25.45,802,scattered Clouds,Clouds,03d,stations,298.06,297.34,298.06,298.06,1012,28,1012,None,None,2.48,108,2.67,46,12/24/22 AM,12/24/22 PM,01/01/70 AM
1278710,Amritsar,74.8656,31.6331,800,clear sky,Clear,01d,stations,284.05,281.77,284.05,284.05,1016,22,1016,None,None,2.75,317,2.91,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1251081,Anuradhapura,80.4173,8.3565,804,overcast clouds,Clouds,04d,stations,300.57,303.73,300.57,300.57,1007,79,1007,None,None,4.38,343,6.34,98,12/24/22 AM,12/24/22 PM,01/01/70 AM
1278149,Aurangabad,75.3333,19.8833,800,clear sky,clear,01d,stations,300.87,300,300.87,300.87,1011,29,1011,None,None,1.48,197,2.49,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1277013,Bareilly,79.4167,28.35,800,clrar sky,clear,01d ,stations,296.11,295.01,296.11,296.11,1014,21,1014,None,None,3.16,294,3.22,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1277333,Bengaluru,77.6033,12.9762,804,overcast clouds,Clouds,04d,stations,299.68,299.68,296.96,301.05,1014,54,1014,None,None,3.6,60,None,100,12/24/22 AM,12/24/22 PM,01/01/70 AM
1249978,Bentota,79.9948,6.4254,802,scattered clouds,Clouds,03d,stations,301.38,304.56,301.38,301.38,1007,72,1007,None,None,8.18,322,9,45,12/24/22 AM,12/24/22 PM,01/01/70 AM
1276389,Betul,77.8961,21.9153,800,clear sky,Clear,01d,stations,298.91,298.46,298.91,298.91,1012,35,1012,None,None,2.43,267,3.69,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1276320,Bhadreswar,88.3506,22.8244,800,clear sky,Clear,01d,stations,302.09,300.59,302.09,302.09,1011,21,1011,None,None,3.31,310,4.37,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1275841,Bhopal,77.4,23.2667,800,clear sky,Clear,01d,stations,297.28,296.87,297.28,297.28,1014,43,1014,None,None,3.09,330,None,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1274746,Chandigarh,76.7933,30.7343,800,clear sky ,Clear,01d,stations,292.69,291.35,292.69,292.69,1015,25,1015,None,None,3.61,290,3.24,4,12/24/22 AM,12/24/22 PM,01/01/70 AM
1264527,Chennai,80.2785,13.0878,721,haze,Haze,50d,stations,303.14,308.16,303.14,303.14,1009,70,1009,None,None,6.17,40,None,40,12/24/22 AM,12/24/22 PM,01/01/70 AM
1273865,Coimatore,76.9667,11,721,haze,Haze,50d,stations,304.03,303.91,304.03,304.03,1010,40,1010,None,None,2.06,10,None,20,12/24/22 AM,12/24/22 PM,01/01/70 AM
1248991,Colombo,79.8478,6.9319,802,scattered clouds,Clouds,03d,stations,300.91,303.98,300.91,300.91,1007,75,1007,None,None,7.95,342,8.95,42,12/24/22 AM,12/24/22 PM,01/01/70 AM
1273802,Cuddalore,79.75,11.75,804,overcast clouds,Clouds,04d,stations,303.36,308.45,303.36,303.36,1008,69,1008,None,None,7.47,5,9.52,100,12/24/22 AM,12/24/22 PM,01/01/70 AM
1248749,Dambulla,80.6517,7.86,804,overcast clouds,Clouds,04d,stations,299.41,299.41,299.41,299.41,1008,82,1008,None,None,2.83,325,4.74,92,12/24/22 AM,12/24/22 PM,01/01/70 AM
1273294,Delhi,77.2167,28.6667,711,smoke,smoke,50d,stations,290.2,289.4,290.2,290.2,1016,55,1016,None,None,2.57,270,None,20,12/24/22 AM,12/24/22 PM,01/01/70 AM
1272979,Dhanbad,86.45,23.8,800,clear sky,clear ,01d,stations,301.33,300.02,301.33,301.33,1011,20,1011,None,None,2.45,239,3.06,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1272543,Dindigul,77.95,10.35,801,few clouds,Clouds,02d,stations,302.1,302.87,302.1,302.1,1009,51,1009,None,None,3.66,352,4.45,15,12/24/22 AM,12/24/22 PM,01/01/70 AM
1272013,Erode,77.7333,11.35,804,overcast clouds,Clouds,04d,stations,303.12,302.92,303.12,303.12,1009,41,1009,None,None,4.32,25,5,88,12/24/22 AM,12/24/22 PM,01/01/70 AM
1271951,Faridabad,77.3167,28.4333,800,clear sky,clear ,01d,stations,290.29,288.5,290.29,290.29,1015,17,1015,None,None,3.85,311,4.27,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1246294,Galle,80.217,6.0367,801,few clouds,Clouds,02d,stations,301.63,304.93,301.63,301.63,1007,71,1007,None,None,8.21,301,8.93,19,12/24/22 AM,12/24/22 PM,01/01/70 AM
1271631,Gangtok,88.6167,27.3333,803,broken clouds,Clouds,04d,stations,286.33,285.19,286.33,286.33,1013,57,1013,None,None,2.74,195,3.01,62,12/24/22 AM,12/24/22 PM,01/01/70 AM
1271308,Ghaziabad,77.4333,28.6667,800,clear sky,clear,01d,stations,290.23,288.23,290.23,290.23,1015,17,1015,None,None,3.83,304,4.21,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1270642,Gurgaon,77.0333,28.4667,711,smoke,smoke,50d,stations,290.17,289.36,290.17,290.17,1016,55,1016,None,None,2.57,270,None,20,12/24/22 AM,12/24/22 PM,01/01/70 AM
1271476,Guwahati,91.751,26.1862,721,haze,haze,50d,stations,297.1,297.46,297.1,297.1,1011,73,1011,None,None,1.03,30,None,20,12/24/22 AM,12/24/22 PM,01/01/70 AM
1270583,Gwalior,78.1792,26.2236,800,clear sky ,clear ,01d,stations,295.06,294.12,295.06,295.06,1014,31,1014,None,None,3.95,353,3.95,3,12/24/22 AM,12/24/22 PM,01/01/70 AM
1269934,Hosur,77.8167,12.7167,804,overcast clouds,Clouds,04d,stations,298.23,297.79,297.12,301.21,1011,38,1011,None,None,3.36,43,4.09,100,12/24/22 AM,12/24/22 PM,01/01/70 AM
1270396,Howrah,88.3103,22.5892,721,haze,haze,50d,stations,302.15,301.67,302.15,302.15,1011,39,1011,None,None,3.6,340,None,0,12/24/22 AM,12/24/22 PM,01/01/70 AM
1269843,Hyderabad,78.4744,17.3753,721,haze,haze,50d,stations,293.38,293.23,293.38,294.88,1015,68,1015,None,None,2.57,100,None,20,12/24/22 AM,12/24/22 PM,01/01/70 AM
1242833,Jaffna,80.0074,9.6685,804,overcast clouds,Clouds,04d,stations,299.41,299.41,299.41,299.41,1008,79,1008,None,None,7.72,356,10.18,87,12/24/22 AM,12/24/22 PM,01/01/70 AM
1269515,Jaipur,75.8167,26.9167,800,clear sky,clear ,01d,stations,293.77,292.57,293.77,293.77,1017,26,1017,None,None,3.6,70,None,1,12/24/22 AM,12/24/22 PM,01/01/70 AM
1269557,Jehanabad,84.9874,25.2113,800,clear sky ,clear,01d,stations,296.03,294.95,296.03,296.03,1012,22,1012,None,None,1.97,7,1.41,2,12/24/22 AM,12/24/22 PM,01/01/70 AM
